product,issue,table,category,code,desc_c,desc_e
HKMDS,202005,T0608,stat,M060807,本地公司的清盤 (在期內的數目) - 自動清盤 - 公司解散 - 債權人自動清盤,Liquidation of local companies (number during the period) - Voluntary winding-up - Dissolution - Creditors' voluntary winding-up
HKMDS,202005,T0608,stat,M060808,本地公司的清盤 (在期內的數目) - 強制清盤 - 提交的呈請書 (註釋 2),Liquidation of local companies (number during the period) - Compulsory winding-up - Petitions presented (note 2)
HKMDS,202005,T0608,stat,M060809,本地公司的清盤 (在期內的數目) - 強制清盤 - 發出的清盤令 (註釋 2),Liquidation of local companies (number during the period) - Compulsory winding-up - Winding-up Orders made (note 2)
HKMDS,202005,T0608,stat,M060810,在本港以外成立為法團並在本港設有營業地點的公司 - 新註冊在本港設有營業地點的公司數目 (在期內的數目),Companies incorporated outside Hong Kong having a place of business in Hong Kong - No. of companies newly registered as having a place of business in Hong Kong (number during the period)
HKMDS,202005,T0608,stat,M060811,在本港以外成立為法團並在本港設有營業地點的公司 - 不再在本港設有營業地點╱已解散的公司數目 (在期內的數目),Companies incorporated outside Hong Kong having a place of business in Hong Kong - No. of companies ceased to have a place of business in Hong Kong/dissolved (number during the period)
HKMDS,202005,T0608,stat,M060812,在本港以外成立為法團並在本港設有營業地點的公司 - 仍在公司登記冊上註冊的公司數目 (在期末的數目),Companies incorporated outside Hong Kong having a place of business in Hong Kong - Total number of companies remained registered in the Companies Register (number at end of the period)
HKMDS,202005,T0608,class1,lcomp,本地公司類別,Type of local companies
HKMDS,202005,T0608,class2_code,lcomp_01,公眾公司,Public companies
HKMDS,202005,T0608,class2_code,lcomp_02,私人公司,Private companies
HKMDS,202005,T0608,class2_code,lcomp_03,擔保有限公司 (註釋 1),Companies limited by guarantee (note 1)
HKMDS,202005,T0608,class2_code,lcomp_tt,總數,Total
HKMDS,202005,T0608,other_info,note_1,(註釋 1) 新《公司條例》(第622章) 於2014年3月3日生效。在新《公司條例》下，擔保有限公司成為獨立的公司類別。,"(note 1) The new Companies Ordinance (Cap. 622) has commenced operation on 3 March 2014.  Under the new Companies Ordinance, companies limited by guarantee become a separate category of companies."
HKMDS,202005,T0608,other_info,note_2,(註釋 2) 由於法院的特別上班安排，因而導致於2020年1月29日至2020年2月28日期間沒有呈請書提交及沒有破產令／清盤令頒布。,"(note 2) Due to the special work arrangement of the Court, no petition was presented and no order was made during the period from 29 January 2020 to 28 February 2020."
HKMDS,202005,T0608,other_info,source,"公司註冊處；破產管理署
",Companies Registry; Official Receiver's Office
